,TS代码,法人代表,总经理,董秘,城市
457,600480.SH,信虎峰,牟月辉,翟斌,保定市
458,600573.SH,刘翔宇,肖国锋,程晓梅,泉州市
459,600963.SH,李战,李战,易兰锴,岳阳市
460,688268.SH,石平湘,傅铸红,万灵芝,佛山市
461,603516.SH,何仕达,何仕达,付国义,北京市
462,688363.SH,赵燕,赵燕,李亦争,济南市
463,002320.SZ,叶伟,叶伟,蔡泞检,海口市
464,300558.SZ,丁列明,丁列明,吴灵犀,
465,002305.SZ,秦普高,钟永红,畅文智,武汉市
466,688278.SH,孙黎,孙黎,孙志里,厦门市
467,600529.SH,扈永刚,张军,赵海宝,淄博市
468,600467.SH,唐传勤,唐传勤,李俊峰,威海市
469,002001.SZ,胡柏藩,胡柏剡,石观群,绍兴市
470,600495.SH,张朝宏,孔炯刚,韩秋实,太原市
471,600478.SH,钟发平,潘立贤,张飞,长沙市
472,600976.SH,何勤,汪俊,周捷,武汉市
473,300946.SZ,林正华,林正华,沈群宾,莆田市
474,002303.SZ,王海鹏,王治军,刘会丰,深圳市
475,002337.SZ,张晓辰,史航,焦君涵,天津市
476,002377.SZ,王昕,吕华生,彭雅超,武汉市
