,TS代码,法人代表,总经理,董秘,城市
2251,300095.SZ,聂景华,曹明生,陈凤菊,宜春市
2252,002591.SZ,朱星河,胡恩雪,余豪,南昌市
2253,002695.SZ,褚浚,褚浚,曾细华,南昌市
2254,002460.SZ,李良彬,李良彬,欧阳明,新余市
2255,603585.SH,缪金凤,缪金凤,汪静莉,无锡市
2256,002554.SZ,谢文辉,黄松,张中炜,长沙市
2257,002383.SZ,郭信平,郭信平,闫文,北京市
2258,300302.SZ,周泽湘,周泽湘,方一夫,北京市
2259,300117.SZ,田新甲,田新甲,黄秋艳,北京市
2260,603333.SH,盛业武,盛业武,姜向东,乐山市
2261,300820.SZ,王军,周英怀,刘世伟,德阳市
2262,300463.SZ,唐勇,吴明建,史炜,成都市
2263,688127.SH,徐云明,徐云明,俞周忠,嘉兴市
2264,002457.SZ,李骞,张敬泽,范仁平,吴忠市
2265,300076.SZ,荆毅民,张克嘉,陈坤,宁波市
2266,002610.SZ,邹承慧,史强,ZHANG JING,无锡市
2267,603156.SH,姚奎章,范召林,马永利,衡水市
2268,002601.SZ,许刚,许刚,张海涛,焦作市
2269,002321.SZ,曹家富,汪开江,曹家富,信阳市
2270,002573.SZ,邹艾艾,李其林,李其林,北京市
2271,300344.SZ,马超,汪逸,项良宝,北京市
2272,300073.SZ,陈彦彬,陈彦彬,曲晓力,北京市
2273,300513.SZ,钱苏晋,钱苏晋,黄子健,北京市
2274,002497.SZ,高欣,高欣,翟雄鹰,雅安市
2275,603877.SH,张江平,陈红朝,王青林,宁波市
2276,002368.SZ,张云,柴永茂,王茜,北京市
2277,601567.SH,沈国英,段亮,郭粟,宁波市
2278,603606.SH,夏崇耀,夏峰,乐君杰,宁波市
2279,300163.SZ,白瑞琛,白瑞琛,熊军,宁波市
2280,603508.SH,李欣,方伟,苏站站,郑州市
2281,601677.SH,马廷义,刘杰,雷鹏,郑州市
2282,300007.SZ,任红军,李志刚,肖锋,郑州市
2283,300437.SZ,王志清,王志清,成举明,济源市
2284,300157.SZ,包笠,孙玉芹,杨成虎,北京市
2285,300182.SZ,徐子泉,陈同刚,马林,北京市
2286,300075.SZ,吴强华,王东,邱鲁闽,北京市
2287,300047.SZ,陈友,苗逢源,陈秀琴,深圳市
2288,300052.SZ,李瑞杰,李逸伦,文毅,深圳市
2289,300264.SZ,陈坤江,张海川,邱翊君,深圳市
2290,603917.SH,施良才,施良才,许钢,宁波市
2291,002473.SZ,宋骐,宋骐,王连兴,宁波市
2292,601789.SH,周杰,徐文卫,李长春,宁波市
2293,300314.SZ,陈再宏,陈再宏,李则东,宁波市
2294,300829.SZ,张鹏,石从亮,崔耀军,周口市
2295,002536.SZ,孙耀志,孙耀忠,谢国楼,南阳市
2296,601566.SH,林聪颖,陈加芽,吴徽荣,泉州市
2297,603658.SH,杨增利,杨增利,房瑞宽,郑州市
2298,601717.SH,焦承尧,贾浩,张海斌,郑州市
2299,300168.SZ,胡宏伟,胡宏伟,张丽艳,上海市
2300,002562.SZ,钱志达,钱志达,钱柳华,嘉兴市
2301,002429.SZ,顾伟,欧军,方振宇,深圳市
2302,002436.SZ,邱醒亚,邱醒亚,蒋威,深圳市
2303,300012.SZ,万峰,申屠献忠,陈砚,深圳市
2304,300329.SZ,陈海伦,陈朝峰,石定靖,宁波市
2305,300659.SZ,魏东晓,魏东晓,孙强,济南市
2306,002805.SZ,赵光辉,邓燕,刘飞,枣庄市
2307,300321.SZ,孙俊成,徐旭日,于洪亮,潍坊市
2308,002580.SZ,张玉才,宫国伟,张耀,济宁市
2309,002613.SZ,高学明,高理,雷敏,洛阳市
2310,603993.SH,袁宏林,孙瑞文,岳远斌,洛阳市
2311,300189.SZ,曹欧劼,杨祺,何燕,海口市
2312,300051.SZ,余成斌,余成斌,洪建章,厦门市
2313,300102.SZ,金张育,蔡海防,刘文辉,厦门市
2314,603444.SH,卢竑岩,卢竑岩,梁丽莉,厦门市
2315,300130.SZ,刘祥,刘祥,郭桥易,深圳市
2316,300568.SZ,陈秀峰,陈秀峰,沈熙文,深圳市
2317,300042.SZ,魏卫,杜铁军,于雅娜,深圳市
2318,002587.SZ,吴涵渠,吴涵渠,孔德建,深圳市
2319,002476.SZ,吴锋,吴锋,张世鹏,东营市
2320,300099.SZ,黄自伟,黄自伟,曹洪伟,泰安市
2321,002376.SZ,丛强滋,宋森,荣波,威海市
2322,002526.SZ,赵华涛,杨成三,张星春,潍坊市
2323,300479.SZ,王继春,井焜,李宏宇,济南市
2324,300035.SZ,余新,李爱武,张斌,岳阳市
2325,002549.SZ,祝恩福,肖勇军,张伟,岳阳市
2326,002432.SZ,刘毅,刘毅,邬彤,天津市
2327,300407.SZ,孔祥洲,王伟,蔡登明,天津市
2328,300823.SZ,陈振东,陈振东,林琳,天津市
2329,002567.SZ,陶一山,陶业,孙双胜,株洲市
2330,300124.SZ,朱兴明,朱兴明,宋君恩,深圳市
2331,002399.SZ,李锂,单宇,谈煊,深圳市
2332,300206.SZ,张浩,张浩,祖幼冬,深圳市
2333,300868.SZ,黄新,黄新,周波,深圳市
2334,300178.SZ,钟百胜,段乃琦,周静,深圳市
2335,002921.SZ,郭元强,郭元强,宋志强,济宁市
2336,002595.SZ,张恭运,单既强,李静,潍坊市
2337,300185.SZ,欧辉生,司勇,黄一桓,德州市
2338,300267.SZ,帅放文,孙庆荣,顾吉顺,长沙市
2339,300187.SZ,马铭锋,王峰,严雷,长沙市
2340,300730.SZ,费耀平,李杰,金卓钧,长沙市
2341,300119.SZ,李守军,李守军,徐健,天津市
2342,300542.SZ,康路,张燕生,张大新,北京市
2343,300106.SZ,李昌胜,,梁雷,石河子市
2344,300279.SZ,冯红涛,徐宏斌,徐宏斌,无锡市
2345,300389.SZ,丁彦辉,,孙伟玲,深圳市
2346,688318.SH,黄山,黄山,田进恩,深圳市
2347,300044.SZ,周勇,周勇,眭小红,深圳市
2348,002470.SZ,万连步,万连步,杨春菊,临沂市
2349,603113.SH,秦庆平,单曰新,王忠霞,德州市
2350,002521.SZ,李学峰,李安东,姚延磊,淄博市
2351,002367.SZ,王友林,王友林,吴贤,苏州市
2352,002452.SZ,马晓,马晓,张钰,长沙市
2353,603136.SH,孟广才,李淑香,虞雯,常州市
2354,688008.SH,杨崇和,Stephen Kuong-Io Tai,梁铂钴,上海市
2355,300566.SZ,张彦,张彦,姜琳,宁波市
2356,002455.SZ,郑铁江,蒋国强,陈慧敏,无锡市
2357,601233.SH,陈士良,许金祥,周军,嘉兴市
2358,300018.SZ,王永业,卢春明,董志刚,武汉市
2359,300323.SZ,俞信华,周建会,连程杰,武汉市
2360,300167.SZ,季红,季刚,刘丹,深圳市
2361,300546.SZ,高晶,郑嵩,戈文龙,深圳市
2362,002733.SZ,王克田,王克田,刘刚,深圳市
2363,300014.SZ,刘金成,刘建华,江敏,惠州市
2364,002906.SZ,邹淦荣,邹淦荣,李翠翠,惠州市
2365,688055.SH,陶园,陶园,蔡志承,苏州市
2366,002750.SZ,樊献俄,樊丽娟,李亚鹤,昆明市
2367,688099.SH,JOHN ZHONG,JOHN ZHONG,余莉,上海市
2368,002579.SZ,杨林,刘德威,余祥斌,惠州市
2369,002315.SZ,沈锦华,沈锦华,迟梦洁,南京市
2370,002422.SZ,刘革新,刘思川,冯昊,成都市
2371,002499.SZ,黎东,黎东,黎东,苏州市
2372,002643.SZ,黄以武,王忠立,于书敏,烟台市
2373,300190.SZ,李月中,宗韬,朱敏,常州市
2374,300088.SZ,高前文,郑建军,陈伟达,芜湖市
2375,300023.SZ,王伟,王伟,刘悦,西安市
2376,002482.SZ,范志全,叶嘉铭,郭文宁,深圳市
2377,688321.SH,XIANPING LU,XIANPING LU,海鸥,深圳市
2378,002313.SZ,杨宇翔,杨涛,李玮,深圳市
2379,688571.SH,邱克家,三輪達也,陈建新,杭州市
2380,002364.SZ,朱国锭,赵大春,蔡祝平,杭州市
2381,601177.SH,杨水余,杨水余,欧阳建国,杭州市
2382,300144.SZ,张娴,张娴,陈胜敏,杭州市
2383,300887.SZ,张英杰,张英杰,李小冬,北京市
2384,603609.SH,金卫东,邱嘉辉,赵馨,沈阳市
2385,002680.SZ,高俊芳,,桂巍,连云港市
2386,002722.SZ,陆挺,汤华军,邱九辉,南通市
2387,002799.SZ,李移岭,孙学军,林蔚,西安市
2388,300103.SZ,傅建平,傅建平,韦尔奇,西安市
2389,300164.SZ,张国桉,任延忠,张志坚,西安市
2390,002660.SZ,王浩涛,杨丰林,顾永德,深圳市
2391,002421.SZ,刘磅,刘磅,黄天朗,深圳市
2392,002316.SZ,王永彬,黄喜胜,华建强,深圳市
2393,002415.SZ,陈宗年,胡扬忠,黄方红,杭州市
2394,002534.SZ,王水福,何伟校,濮卫锋,杭州市
2395,002535.SZ,郭现生,郭钏,郭现生,安阳市
2396,300116.SZ,高保清,高保清,李军,西安市
2397,601369.SH,李宏安,陈党民,柴进,西安市
2398,601012.SH,李振国,李振国,刘晓东,西安市
2399,688122.SH,张平祥,冯勇,周通,西安市
2400,603612.SH,郎光辉,郝俊文,袁钢,德州市
2401,002384.SZ,袁永刚,袁永峰,冒小燕,苏州市
2402,300390.SZ,裴振华,陆建平,裴振华,苏州市
2403,002808.SZ,余荣清,余荣清,朱铭伟,苏州市
2404,300295.SZ,胡光辉,胡光辉,凌云,南京市
2405,002471.SZ,俞雷,霍振平,潘志娟,无锡市
2406,002540.SZ,周福海,王新万,沈琳,无锡市
2407,002545.SZ,韩方如,韩真如,何良军,青岛市
2408,300110.SZ,杨效东,杨效东,吴聪,青岛市
2409,002498.SZ,张立刚,张林军,王正庄,青岛市
2410,002406.SZ,刘延生,刘娅雪,刘硕,许昌市
2411,300039.SZ,穆竟伟,王国明,任立旺,上海市
2412,300074.SZ,吕文辉,胡君健,李惠,上海市
2413,300382.SZ,安旭,安旭,吴晓燕,苏州市
2414,601360.SH,周鸿祎,周鸿祎,赵路明,天津市
2415,300192.SZ,吴贤良,吴贤良,张峰,苏州市
2416,002426.SZ,高玉根,高玉根,程晔,苏州市
2417,300331.SZ,陈林森,朱志坚,姚维品,苏州市
2418,002559.SZ,冷志斌,冷志斌,童娟,扬州市
2419,300356.SZ,龙昌明,龙昌明,戴晓东,南京市
2420,300346.SZ,冯剑松,王陆平,苏永钦,苏州市
2421,603639.SH,葛家成,葛家成,汤安荣,青岛市
2422,300379.SZ,黄永军,黄永军,徐少璞,北京市
2423,002638.SZ,梁金成,梁金成,马锐,东莞市
2424,300372.SZ,刘桂文,刘桂文,张雅莉,丹东市
2425,603987.SH,张维鑫,张维鑫,顾佳俊,上海市
2426,002669.SZ,王建祥,姚其胜,沈一涛,上海市
2427,300272.SZ,瞿建国,QU RAYMOND MING(瞿亚明),蒋玮芳,上海市
2428,601816.SH,刘洪润,邵长虹,赵非,北京市
2429,002336.SZ,何浩,邹军平,蔡慧明,深圳市
2430,002661.SZ,陈克明,陈宏,陈燕,益阳市
2431,002644.SZ,石爱国,尚寿鹏,李宝军,兰州市
2432,300135.SZ,周文彬,周文彬,王学良,无锡市
2433,002478.SZ,曹坚,韩巧林,韩巧林,常州市
2434,603787.SH,张崇舜,赵学忠,王晨阳,无锡市
2435,601222.SH,陆永华,陆永华,崔东旭,南通市
2436,002449.SZ,王广军,,刘艾璨子,佛山市
2437,300472.SZ,朱业胜,朱业胜,秦璐,抚州市
2438,002819.SZ,王戈,郑大伟,常虹,北京市
2439,002310.SZ,刘伟杰,刘伟杰,陈莹,北京市
2440,002324.SZ,周文,周文,储民宏,上海市
2441,002568.SZ,刘晓东,刘晓东,耿涛,上海市
2442,603633.SH,朱新爱,朱新爱,朱小海,上海市
2443,002506.SZ,张坤,张坤,马君健,上海市
2444,002910.SZ,马红富,马红富,张骞予,兰州市
2445,603169.SH,张璞临,任世宏,胡军旺,兰州市
2446,002425.SZ,郑合明,何啸威,彭玲,汕头市
2447,601777.SH,徐志豪,杨波,伍定军,重庆市
2448,002928.SZ,胡晓军,李志良,俸杰,贵阳市
2449,300339.SZ,周红卫,周红卫,胡传高,南京市
2450,300284.SZ,李大鹏,李大鹏,潘岭松,南京市
2451,002513.SZ,杨振华,耿斌,陈康,徐州市
2452,002496.SZ,仲汉根,裴柏平,韦广权,盐城市
2453,300367.SZ,邹洋,,刘朗天,北京市
2454,002657.SZ,朱烨东,沈飒,赵剑,北京市
2455,300003.SZ,蒲忠杰,蒲忠杰,郭同军,北京市
2456,300406.SZ,邹左军,刘希,王建民,北京市
2457,002633.SZ,何建南,何建南,蔡靓燕,绍兴市
2458,601965.SH,李开国,万鑫铭,刘安民,重庆市
2459,002862.SZ,蔡俊权,蔡俊权,肖家源,汕头市
2460,300876.SZ,郭清海,郭清海,朱少芬,揭阳市
2461,605277.SH,赵战兵,赵战兵,黄娟,温州市
2462,605151.SH,朱燕阳,朱燕阳,卢晓东,上海市
2463,603180.SH,潘孝贞,潘孝贞,陈建波,厦门市
2464,688015.SH,郜春海,郜春海,李春红,北京市
2465,002882.SZ,郑永汉,郑永汉,夏斓,深圳市
2466,603806.SH,林建华,周光大,章樱,杭州市
2467,300892.SZ,王牧,王牧,朱国辉,上海市
2468,603160.SH,张帆,张帆,王丽,深圳市
2469,603496.SH,沈振宇,沈振宇,王翔,上海市
2470,300590.SZ,廖荣华,廖荣华,张杰,上海市
2471,300507.SZ,李宏庆,滕飞,方太郎,扬州市
2472,002581.SZ,潘爱华,丁学国,张一诺,淄博市
2473,002988.SZ,董卫峰,董卫峰,刘光芒,清远市
2474,603898.SH,沈汉标,沈汉标,甘国强,广州市
2475,688160.SH,唐咚,唐咚,池家武,上海市
2476,605009.SH,李志彪,李志彪,曹凤姣,杭州市
2477,300441.SZ,陈金岳,陈金岳,徐斌,宁波市
2478,300328.SZ,杨洁丹,杨洁丹,张春联,东莞市
2479,002667.SZ,何凯,李佳黎,周继伟,鞍山市
2480,603928.SH,王进兴,王进兴,彭勇泉,苏州市
2481,002801.SZ,何平,何平,胡雅琴,杭州市
2482,300736.SZ,刘铁峰,刘铁峰,陈立娅,北京市
2483,002899.SZ,丁利荣,丁利荣,张瑞,青岛市
2484,601689.SH,邬建树,王斌,王明臻,宁波市
2485,688003.SH,徐一华,徐一华,杨聪,苏州市
2486,002836.SZ,肖海兰,肖海兰,夏明珠,潮州市
2487,603161.SH,陈洪民,宗楼,张祥琴,常州市
2488,002524.SZ,周永麟,周永麟,朱星毓,乌鲁木齐市
2489,688219.SH,李健益,方安平,吴江,合肥市
2490,603588.SH,陈望明,陈望明,张炯,北京市
2491,603811.SH,颜贻意,赵春建,柯泽慧,温州市
2492,300622.SZ,ALEXANDER LIU,LOUISA FAN,杨秋,深圳市
2493,605133.SH,夏诚亮,夏诚亮,吉爱根,扬州市
2494,002596.SZ,张海林,吴悦良,于清池,三亚市
2495,300297.SZ,柯宗贵,柯宗贵,李根森,广州市
2496,601890.SH,陶安祥,陶良凤,肖莉莉,泰州市
2497,002707.SZ,冯滨,冯滨,郭镭,北京市
2498,688095.SH,熊雨前,熊雨前,李有铭,福州市
2499,002813.SZ,朱君冰,朱君冰,蒋福财,深圳市
2500,603677.SH,汪伟东,汪伟东,田林,宁波市
2501,300340.SZ,万国江,万国江,唐秀雷,江门市
2502,003023.SZ,刘荣富,黄朝万,张浩军,成都市
2503,603663.SH,夏鹏,夏鹏,郑雄,宁德市
2504,603929.SH,姚祖骧,毛智辉,李繁骏,苏州市
2505,603737.SH,洪杰,洪杰,米粒,莆田市
2506,002852.SZ,刘建军,刘建军,谢细波,岳阳市
2507,002711.SZ,李孝国,李孝国,彭国宇,佛山市
2508,002692.SZ,汤兴良,俞国平,汤兴良,无锡市
2509,603158.SH,蒋学真,蒋学真,陈靖,常州市
2510,002629.SZ,温志平,陈曦,王晶,温州市
2511,300620.SZ,Wang Xinglong,Wang Xinglong,吴炜,珠海市
2512,300397.SZ,贺增林,贺增林,陈桦,西安市
2513,300668.SZ,姜峰,姜峰,顾承鸣,深圳市
2514,300604.SZ,赵轶,赵轶,赵游,杭州市
2515,300288.SZ,王伟,王健,王春,贵阳市
2516,300499.SZ,李琦,李琦,谢荣钦,广州市
2517,003019.SZ,孙大明,李明芳,钟柏安,厦门市
2518,300316.SZ,曹建伟,何俊,陆晓雯,绍兴市
2519,300608.SZ,吴飞舟,吴飞舟,咸海丰,北京市
2520,601619.SH,陈波,赵继伟,张建军,吴忠市
2521,300363.SZ,居年丰,居年丰,陶荣,重庆市
2522,688228.SH,汪敏,汪敏,马文婧,东莞市
2523,603867.SH,胡健,包江峰,胡建宏,杭州市
2524,603598.SH,罗衍记,罗衍记,马长兴,北京市
2525,300430.SZ,梁凯,梁凯,邱义鹏,北京市
2526,300333.SZ,魏恺言,魏恺言,余凯,深圳市
2527,002953.SZ,冯就景,李强,孟兆滨,中山市
2528,300578.SZ,路路,路路,路路,上海市
2529,300930.SZ,汪志荣,汪志荣,李辉,杭州市
2530,300396.SZ,宋洁,宋洁,安国柱,长春市
2531,603033.SH,叶继跃,陈晓宇,顾晨晖,台州市
2532,300476.SZ,陈涛,陈涛,赵启祥,惠州市
2533,601858.SH,林鹏,彭斌,张凡,北京市
2534,603828.SH,顾益明,鲁崇明,何利民,苏州市
2535,300493.SZ,郎晓刚,葛琼,庞军,上海市
2536,002593.SZ,吴子文,吴子文,吴小红,厦门市
2537,002970.SZ,赵志坚,赵志坚,孙英,深圳市
2538,002654.SZ,李年生,汪军,邵立伟,深圳市
2539,603018.SH,杨卫东,刘鹏,胡安兵,南京市
2540,003030.SZ,蔡祖明,蔡祖明,高锋,杭州市
2541,300550.SZ,杨一兵,戴泽宇,章逸,杭州市
2542,300392.SZ,田炳信,田炳信,田炳信,北京市
2543,300304.SZ,付红玲,蔡承儒,郑渲薇,徐州市
2544,300935.SZ,陈岱林,任卫教,贺秋菊,北京市
2545,002635.SZ,吕莉,吕莉,马玉燕,苏州市
2546,300845.SZ,郑乐观,高志生,牛红勋,郑州市
2547,603567.SH,方同华,陈海,侯旭志,鸡西市
2548,300362.SZ,叶鹏,周东来,王培勇,成都市
2549,603882.SH,梁耀铭,梁耀铭,郝必喜,广州市
2550,300458.SZ,张建辉,李龙生,蔡霄鹏,珠海市
2551,603538.SH,姚成志,姚成志,应高峰,宁波市
2552,603023.SH,刘高深,陈振华,郁琼,哈尔滨市
2553,603819.SH,陈忠渭,陈睿,蒋国峰,常州市
2554,300210.SZ,孙斌武,孙斌武,王文铎,鞍山市
2555,603011.SH,严建文,严建文,王晓峰,合肥市
2556,603817.SH,陈宏景,卓贤文,林志军,福州市
2557,002716.SZ,潘郴华,潘郴华,袁志勇,郴州市
2558,605500.SH,林启军,林启军,陈清贤,台州市
2559,603688.SH,陈士斌,陈士斌,吕良益,连云港市
2560,603648.SH,徐峰,徐峰,沈侃,上海市
2561,002606.SZ,应坚,应莹庭,李军,大连市
2562,300443.SZ,伊廷雷,李新生,周丽,济南市
2563,688057.SH,廖志民,廖志民,杨晨露,南昌市
2564,603367.SH,杜振新,杜振新,续新兵,济宁市
2565,300423.SZ,纪法清,柳云鹏,崔静,烟台市
2566,603186.SH,刘涛,郭江程,居波,杭州市
2567,002828.SZ,陈平贵,陈平贵,陈平贵,克拉玛依市
2568,688676.SH,李辉,李辉,杨霞玲,海口市
2569,300587.SZ,许吉锭,许孔斌,范薇薇,台州市
2570,300350.SZ,张京豫,张京豫,程渝淇,深圳市
2571,603518.SH,王致勤,王致勤,陶为民,南京市
2572,002675.SZ,由守谊,忻红波,刘晓杰,烟台市
2573,688018.SH,TEO SWEE ANN,TEO SWEE ANN,王珏,上海市
2574,300782.SZ,许志翰,许志翰,冯晨晖,无锡市
2575,300761.SZ,程立力,程立力,虞坚,常州市
2576,002612.SZ,申东日,申今花,王建优,北京市
2577,688312.SH,刘燕,张国峰,邝先珍,深圳市
2578,002788.SZ,吴金祥,吴金祥,叶泉青,厦门市
2579,603038.SH,谭洪汝,谭洪汝,钟科,东莞市
2580,002861.SZ,黄晖,黄晖,曾子路,咸宁市
2581,603198.SH,倪永培,杨照兵,孙汪胜,六安市
2582,002790.SZ,罗远良,张剑波,陈雪峰,厦门市
2583,300738.SZ,冯康,黄展鹏,何宇亮,广州市
2584,603768.SH,吴应宏,吴应举,刘堃,合肥市
2585,300532.SZ,邵健伟,张小麒,杨金平,深圳市
2586,600956.SH,曹欣,梅春晓,班泽锋,石家庄市
2587,688658.SH,于伟仕,于飞,王成杰,北京市
2588,002971.SZ,杨涛,杨涛,李吉鹏,宜昌市
2589,603238.SH,任建华,张杰,陈伟国,杭州市
2590,002664.SZ,尹巍,秦祥秋,陈世海,台州市
2591,601015.SH,李保平,张林兴,何晓明,渭南市
2592,603189.SH,冯达,冯达,孙琳,上海市
2593,300466.SZ,黄小宁,厉冉,朱伟峰,徐州市
2594,300259.SZ,费战波,常明松,杨冬玲,郑州市
2595,603223.SH,刘振东,,王仁权,烟台市
2596,300505.SZ,刘甍,魏家贵,宋晨,昆明市
2597,300257.SZ,曹克坚,"TANG,YAN",杨建军,衢州市
2598,603337.SH,赵新庆,阮林兵,谢云娇,台州市
2599,601700.SH,范建刚,范建刚,孙连键,苏州市
2600,603383.SH,严孟宇,严孟宇,赵伟,福州市
2601,300877.SZ,曹松亭,曹松亭,孙涛,滁州市
2602,002969.SZ,陈民,陈民,陈强,滁州市
2603,603066.SH,刘子力,金跃跃,徐秦烨,南京市
2604,603358.SH,陈竞宏,葛江宏,徐正敏,泰州市
2605,300322.SZ,朱坤华,温巧夫,黄刚,惠州市
2606,603477.SH,贺正刚,何晓兰,周密,乐山市
2607,603969.SH,谢志峰,谢志峰,谢志礼,天津市
2608,002712.SZ,任丁,俞建华,李子木,杭州市
2609,300454.SZ,何朝曦,何朝曦,蒋文光,深圳市
2610,603813.SH,余军,余军,李运,广州市
2611,605136.SH,黄韬,黄韬,杜红谱,上海市
2612,300850.SZ,肖争强,肖高强,曹柏根,洛阳市
2613,300293.SZ,郭洪涛,郭洪涛,杜羽,沈阳市
2614,002677.SZ,夏志生,夏志生,徐红,嘉兴市
2615,688004.SH,郭忠武,郭忠武,李娜,北京市
2616,300368.SZ,邢海平,郭俊凯,刘俊超,石家庄市
2617,002989.SZ,乔荣健,张安,毛爱军,深圳市
2618,603825.SH,苏同,苏同,郭建军,北京市
2619,002841.SZ,王毅然,王洋,程晓娜,广州市
2620,002621.SZ,刘俊君,李敏,石瑜,大连市
2621,300246.SZ,燕金元,燕金元,杨永兴,珠海市
2622,603551.SH,Fang James,方胜康,刘文龙,杭州市
2623,603637.SH,范其海,范其海,石丹,宁波市
2624,002990.SZ,瞿磊,蒋冰,秦操,深圳市
2625,603992.SH,周华松,周华松,吴朝华,厦门市
2626,603555.SH,林天福,林天福,苏志强,泉州市
2627,002737.SZ,关玉秀,关一,田艳,哈尔滨市
2628,002689.SZ,康宝华,陈光伟,谢刚,沈阳市
2629,300442.SZ,姜卫东,姜卫东,池国进,上海市
2630,300449.SZ,王立群,王立群,李明,北京市
2631,603298.SH,赵礼敏,赵礼敏,陈赛民,杭州市
2632,300400.SZ,吴限,徐德勇,张娜,深圳市
2633,605055.SH,傅双利,傅双利,王调仙,绍兴市
2634,603039.SH,韦利东,韦利东,金戈,上海市
2635,603256.SH,毛嘉明,杜甫,邹新娥,上海市
2636,002713.SZ,陈辉,杨劲,管哲,北京市
2637,300326.SZ,袁征,袁征,丁魁,上海市
2638,300619.SZ,张启发,张启发,熊仁峰,佛山市
2639,003011.SZ,王周林,王周林,王周林,嘉兴市
2640,002991.SZ,严斌生,严斌生,严海雁,萍乡市
2641,688026.SH,袁建华,Yuan Ye James,陈长溪,广州市
2642,688178.SH,刘军,刘军,范凯,南京市
2643,603221.SH,宋正兴,宋锦程,李虹,苏州市
2644,002439.SZ,王佳,王佳,姜朋,北京市
2645,603129.SH,赖国贵,赖民杰,周雄秀,杭州市
2646,600916.SH,陈雄伟,王琪,陈军,北京市
2647,603682.SH,郁敏珺,郁敏珺,刘竹金,上海市
2648,002782.SZ,肖铿,肖铿,伍春霞,深圳市
2649,603709.SH,曹勇,曹勇,张芸,湖州市
2650,605299.SH,张维建,张维建,傅建木,泉州市
2651,603565.SH,卢宗俊,夏国庆,李涛,上海市
2652,300692.SZ,张伯中,宋永莲,胡新权,合肥市
2653,603288.SH,庞康,庞康,张欣,佛山市
2654,003012.SZ,何新明,龚志云,黄征,清远市
2655,605268.SH,王跃斌,王跃斌,陈泽鹏,金华市
2656,603757.SH,韩元富,韩元富,俞文,台州市
2657,605199.SH,刘景萍,刘景萍,吴莉,海口市
2658,002558.SZ,刘伟,刘伟,孟玮,重庆市
2659,603777.SH,郁瑞芬,郁瑞芬,陆顺刚,上海市
2660,300429.SZ,钱晓春,吕芳诚,倪寅森,常州市
2661,603860.SH,常成利,程宁,赵正亮,北京市
2662,300269.SZ,刘虎军,刘虎军,王广彦,深圳市
2663,603815.SH,胡先宽,胡先宽,曹振明,合肥市
2664,603277.SH,周俊杰,朱文伟,鲁灵鹏,杭州市
2665,605050.SH,崔建华,崔建兵,崔倩,上海市
2666,300435.SZ,章有虎,章有虎,周娟萍,杭州市
2667,688510.SH,严奇,朱宏大,黄勤,无锡市
2668,003016.SZ,孙瑞鸿,孙瑞鸿,朱晓峰,厦门市
2669,002919.SZ,陈勤发,陈勤发,陈东松,汕头市
2670,300625.SZ,张宇涛,张宇涛,颜新元,广州市
2671,601228.SH,李益波,邓国生,马楚江,广州市
2672,300848.SZ,王仁鸿,王仁鸿,郭少红,烟台市
2673,603258.SH,胡建平,胡建平,胡建平,杭州市
2674,603228.SH,刘绍柏,刘绍柏,黄恬,深圳市
2675,603915.SH,徐国忠,徐彬,陆一品,常州市
2676,605369.SH,施慧勇,钟卫峰,金世伟,台州市
2677,300827.SZ,吴强,段育鹤,陈运萍,无锡市
2678,300842.SZ,史卫利,史卫利,张莉,无锡市
2679,300707.SZ,张锡亮,方晓鲲,张一峰,无锡市
2680,603313.SH,倪张根,倪张根,付冬情,南通市
2681,603348.SH,唐杰雄,唐杰雄,刘世博,佛山市
2682,603666.SH,姜杰,姜杰,王少劼,南京市
2683,603106.SH,江浩然,滕飞,王伟,天津市
2684,300254.SZ,赵群,钟海荣,俞俊贤,大同市
2685,300250.SZ,洪爱金,洪爱金,许平,杭州市
2686,300410.SZ,徐地华,徐地华,王巍,东莞市
2687,300805.SZ,梁定郊,黄勇,刘颖,广州市
2688,603838.SH,蔡镇城,蔡镇通,黄奕鹏,潮州市
2689,300334.SZ,范宁,范宁,展树华,天津市
2690,603043.SH,徐伟兵,赵利平,陈扬,广州市
2691,688169.SH,昌敬,昌敬,孙佳,北京市
2692,002923.SZ,刘杰,刘杰,曾勇,珠海市
2693,002902.SZ,杨先进,李竞舟,王博,东莞市
2694,603126.SH,马明亮,马明亮,黄剑锋,天津市
2695,002973.SZ,刘少云,刘少云,陈春霞,广州市
2696,603025.SH,郑建军,茹水强,王晓军,北京市
2697,603856.SH,倪奉尧,倪奉尧,寻金龙,济宁市
2698,688221.SH,谢东,王昌进,高千雅,南京市
2699,002747.SZ,吴波,吴侃,袁琴,南京市
2700,002650.SZ,周建文,周建文,杨亚梅,长沙市
2701,688578.SH,杜锦豪,牟艳萍,李硕,上海市
2702,300508.SZ,汤同奎,郑之开,刘明洲,上海市
2703,300456.SZ,杨云春,杨云春,张阿斌,北京市
2704,300198.SZ,陈志江,陈志江,姚俊宾,泉州市
2705,002770.SZ,张清海,张枫华,张清海,商丘市
2706,002670.SZ,杜力,张巍,李娥,佛山市
2707,002607.SZ,王振东,王振东,桂红植,芜湖市
2708,300629.SZ,王刚,王刚,张天荣,佛山市
2709,300365.SZ,罗新伟,罗新伟,陈显龙,北京市
2710,300806.SZ,金闯,金闯,袁文雄,宿迁市
2711,603809.SH,向朝东,张勇,侯凡,成都市
