,TS代码,股票代码,股票名称,行业,市场类型
289,000766.SZ,000766,通化金马,化学制药,主板
290,000767.SZ,000767,晋控电力,火力发电,主板
291,000768.SZ,000768,中航西飞,航空,主板
292,000776.SZ,000776,广发证券,证券,主板
293,000777.SZ,000777,中核科技,机械基件,主板
294,000778.SZ,000778,新兴铸管,钢加工,主板
295,000779.SZ,000779,甘咨询,建筑工程,主板
296,000780.SZ,000780,*ST平能,煤炭开采,主板
297,000782.SZ,000782,美达股份,化纤,主板
298,000783.SZ,000783,长江证券,证券,主板
299,000785.SZ,000785,居然之家,百货,主板
300,000786.SZ,000786,北新建材,其他建材,主板
301,000788.SZ,000788,北大医药,化学制药,主板
302,000789.SZ,000789,万年青,水泥,主板
303,000790.SZ,000790,华神科技,中成药,主板
304,000791.SZ,000791,甘肃电投,水力发电,主板
305,000793.SZ,000793,华闻集团,出版业,主板
306,000795.SZ,000795,英洛华,矿物制品,主板
307,000796.SZ,000796,凯撒旅业,旅游服务,主板
308,000797.SZ,000797,中国武夷,全国地产,主板
309,000798.SZ,000798,中水渔业,渔业,主板
310,000799.SZ,000799,酒鬼酒,白酒,主板
311,000800.SZ,000800,一汽解放,汽车整车,主板
312,000801.SZ,000801,四川九洲,通信设备,主板
313,000802.SZ,000802,北京文化,影视音像,主板
314,000803.SZ,000803,北清环能,电气设备,主板
315,000806.SZ,000806,*ST银河,生物制药,主板
316,000807.SZ,000807,云铝股份,铝,主板
317,000809.SZ,000809,铁岭新城,区域地产,主板
318,000810.SZ,000810,创维数字,家用电器,主板
319,000811.SZ,000811,冰轮环境,工程机械,主板
320,000812.SZ,000812,陕西金叶,广告包装,主板
321,000813.SZ,000813,德展健康,化学制药,主板
322,000815.SZ,000815,美利云,造纸,主板
323,000816.SZ,000816,智慧农业,农用机械,主板
324,000818.SZ,000818,航锦科技,化工原料,主板
325,000819.SZ,000819,岳阳兴长,石油加工,主板
326,000820.SZ,000820,*ST节能,环境保护,主板
327,000821.SZ,000821,京山轻机,轻工机械,主板
328,000822.SZ,000822,山东海化,化工原料,主板
329,000823.SZ,000823,超声电子,元器件,主板
330,000825.SZ,000825,太钢不锈,特种钢,主板
331,000826.SZ,000826,启迪环境,环境保护,主板
332,000828.SZ,000828,东莞控股,路桥,主板
333,000829.SZ,000829,天音控股,其他商业,主板
334,000830.SZ,000830,鲁西化工,农药化肥,主板
335,000831.SZ,000831,五矿稀土,小金属,主板
336,000833.SZ,000833,粤桂股份,造纸,主板
337,000835.SZ,000835,*ST长动,影视音像,主板
338,000836.SZ,000836,富通信息,通信设备,主板
339,000837.SZ,000837,*ST秦机,机床制造,主板
340,000838.SZ,000838,财信发展,区域地产,主板
341,000839.SZ,000839,中信国安,综合类,主板
342,000848.SZ,000848,承德露露,软饮料,主板
343,000850.SZ,000850,华茂股份,纺织,主板
344,000851.SZ,000851,高鸿股份,软件服务,主板
345,000852.SZ,000852,石化机械,化工机械,主板
346,000856.SZ,000856,冀东装备,机械基件,主板
347,000858.SZ,000858,五粮液,白酒,主板
348,000859.SZ,000859,国风塑业,塑料,主板
349,000860.SZ,000860,顺鑫农业,白酒,主板
350,000861.SZ,000861,海印股份,房产服务,主板
351,000862.SZ,000862,银星能源,新型电力,主板
352,000863.SZ,000863,三湘印象,区域地产,主板
353,000868.SZ,000868,ST安凯,汽车整车,主板
354,000869.SZ,000869,张裕A,红黄酒,主板
355,000875.SZ,000875,吉电股份,火力发电,主板
356,000876.SZ,000876,新希望,饲料,主板
357,000877.SZ,000877,天山股份,水泥,主板
358,000878.SZ,000878,云南铜业,铜,主板
359,000880.SZ,000880,潍柴重机,机械基件,主板
360,000881.SZ,000881,中广核技,综合类,主板
361,000882.SZ,000882,华联股份,其他商业,主板
362,000883.SZ,000883,湖北能源,火力发电,主板
363,000885.SZ,000885,城发环境,公路,主板
364,000886.SZ,000886,海南高速,路桥,主板
365,000887.SZ,000887,中鼎股份,橡胶,主板
366,000888.SZ,000888,峨眉山A,旅游景点,主板
