,ts_code,name,industry,market
204,000636.SZ,风华高科,元器件,主板
205,000637.SZ,茂化实华,石油加工,主板
206,000638.SZ,万方发展,软件服务,主板
207,000639.SZ,西王食品,食品,主板
208,000650.SZ,仁和药业,中成药,主板
209,000651.SZ,格力电器,家用电器,主板
210,000652.SZ,泰达股份,批发业,主板
211,000655.SZ,金岭矿业,普钢,主板
212,000656.SZ,金科股份,区域地产,主板
213,000657.SZ,中钨高新,小金属,主板
214,000659.SZ,珠海中富,广告包装,主板
215,000661.SZ,长春高新,生物制药,主板
216,000662.SZ,*ST天夏,软件服务,主板
217,000663.SZ,*ST永林,林业,主板
218,000665.SZ,湖北广电,影视音像,主板
219,000666.SZ,经纬纺机,多元金融,主板
220,000667.SZ,美好置业,全国地产,主板
221,000668.SZ,荣丰控股,区域地产,主板
222,000669.SZ,*ST金鸿,供气供热,主板
223,000670.SZ,*ST盈方,元器件,主板
224,000671.SZ,阳光城,区域地产,主板
225,000672.SZ,上峰水泥,水泥,主板
226,000673.SZ,*ST当代,影视音像,主板
227,000676.SZ,智度股份,互联网,主板
228,000677.SZ,恒天海龙,化纤,主板
229,000678.SZ,襄阳轴承,机械基件,主板
230,000679.SZ,*ST友谊,百货,主板
231,000680.SZ,山推股份,工程机械,主板
232,000681.SZ,视觉中国,互联网,主板
233,000682.SZ,东方电子,软件服务,主板
234,000683.SZ,远兴能源,化工原料,主板
235,000685.SZ,中山公用,水务,主板
236,000686.SZ,东北证券,证券,主板
237,000687.SZ,*ST华讯,通信设备,主板
238,000688.SZ,国城矿业,铅锌,主板
239,000690.SZ,宝新能源,火力发电,主板
240,000691.SZ,亚太实业,区域地产,主板
241,000692.SZ,惠天热电,供气供热,主板
242,000695.SZ,滨海能源,广告包装,主板
243,000697.SZ,炼石航空,航空,主板
244,000698.SZ,沈阳化工,化工原料,主板
245,000700.SZ,模塑科技,汽车配件,主板
246,000701.SZ,厦门信达,综合类,主板
247,000702.SZ,正虹科技,饲料,主板
248,000703.SZ,恒逸石化,化纤,主板
249,000705.SZ,浙江震元,医药商业,主板
250,000707.SZ,ST双环,化工原料,主板
251,000708.SZ,中信特钢,特种钢,主板
252,000709.SZ,河钢股份,普钢,主板
253,000710.SZ,贝瑞基因,医疗保健,主板
254,000711.SZ,京蓝科技,软件服务,主板
255,000712.SZ,锦龙股份,证券,主板
256,000713.SZ,丰乐种业,种植业,主板
257,000715.SZ,中兴商业,百货,主板
258,000716.SZ,黑芝麻,食品,主板
259,000717.SZ,韶钢松山,普钢,主板
260,000718.SZ,苏宁环球,区域地产,主板
261,000719.SZ,中原传媒,出版业,主板
262,000720.SZ,新能泰山,区域地产,主板
263,000721.SZ,西安饮食,酒店餐饮,主板
264,000722.SZ,湖南发展,水力发电,主板
265,000723.SZ,美锦能源,焦炭加工,主板
266,000725.SZ,京东方A,元器件,主板
267,000726.SZ,鲁泰A,纺织,主板
268,000727.SZ,*ST东科,元器件,主板
269,000728.SZ,国元证券,证券,主板
270,000729.SZ,燕京啤酒,啤酒,主板
271,000731.SZ,四川美丰,农药化肥,主板
272,000732.SZ,泰禾集团,区域地产,主板
273,000733.SZ,振华科技,元器件,主板
274,000735.SZ,罗牛山,农业综合,主板
275,000736.SZ,中交地产,全国地产,主板
276,000737.SZ,ST南风,日用化工,主板
277,000738.SZ,航发控制,航空,主板
278,000739.SZ,普洛药业,化学制药,主板
279,000750.SZ,国海证券,证券,主板
280,000751.SZ,锌业股份,铅锌,主板
281,000752.SZ,*ST西发,啤酒,主板
282,000753.SZ,漳州发展,汽车服务,主板
283,000755.SZ,山西路桥,公路,主板
284,000756.SZ,新华制药,化学制药,主板
285,000757.SZ,浩物股份,汽车配件,主板
286,000758.SZ,中色股份,铅锌,主板
287,000759.SZ,中百集团,超市连锁,主板
288,000760.SZ,*ST斯太,汽车配件,主板
289,000761.SZ,本钢板材,普钢,主板
290,000762.SZ,西藏矿业,小金属,主板
291,000766.SZ,通化金马,化学制药,主板
292,000767.SZ,漳泽电力,火力发电,主板
293,000768.SZ,中航飞机,航空,主板
294,000776.SZ,广发证券,证券,主板
295,000777.SZ,中核科技,机械基件,主板
296,000778.SZ,新兴铸管,钢加工,主板
297,000779.SZ,甘咨询,建筑工程,主板
298,000780.SZ,*ST平能,煤炭开采,主板
299,000782.SZ,美达股份,化纤,主板
300,000783.SZ,长江证券,证券,主板
301,000785.SZ,居然之家,百货,主板
302,000786.SZ,北新建材,其他建材,主板
303,000788.SZ,北大医药,化学制药,主板
304,000789.SZ,万年青,水泥,主板
305,000790.SZ,华神科技,中成药,主板
306,000791.SZ,甘肃电投,水力发电,主板
307,000792.SZ,*ST盐湖,化工原料,主板
308,000793.SZ,华闻集团,出版业,主板
309,000795.SZ,英洛华,矿物制品,主板
310,000796.SZ,凯撒旅业,旅游服务,主板
311,000797.SZ,中国武夷,全国地产,主板
312,000798.SZ,中水渔业,渔业,主板
313,000799.SZ,酒鬼酒,白酒,主板
314,000800.SZ,一汽解放,汽车整车,主板
315,000801.SZ,四川九洲,通信设备,主板
316,000802.SZ,北京文化,影视音像,主板
317,000803.SZ,*ST金宇,电气设备,主板
318,000806.SZ,*ST银河,生物制药,主板
319,000807.SZ,云铝股份,铝,主板
320,000809.SZ,铁岭新城,区域地产,主板
321,000810.SZ,创维数字,家用电器,主板
322,000811.SZ,冰轮环境,工程机械,主板
323,000812.SZ,陕西金叶,广告包装,主板
324,000813.SZ,德展健康,化学制药,主板
325,000815.SZ,美利云,造纸,主板
326,000816.SZ,ST慧业,农用机械,主板
327,000818.SZ,航锦科技,化工原料,主板
328,000819.SZ,岳阳兴长,石油加工,主板
329,000820.SZ,*ST节能,环境保护,主板
330,000821.SZ,京山轻机,轻工机械,主板
331,000822.SZ,山东海化,化工原料,主板
332,000823.SZ,超声电子,元器件,主板
333,000825.SZ,太钢不锈,特种钢,主板
334,000826.SZ,启迪环境,环境保护,主板
335,000828.SZ,东莞控股,路桥,主板
336,000829.SZ,天音控股,其他商业,主板
337,000830.SZ,鲁西化工,农药化肥,主板
338,000831.SZ,五矿稀土,小金属,主板
339,000833.SZ,粤桂股份,造纸,主板
340,000835.SZ,*ST长动,影视音像,主板
341,000836.SZ,富通鑫茂,通信设备,主板
342,000837.SZ,*ST秦机,机床制造,主板
343,000838.SZ,财信发展,区域地产,主板
344,000839.SZ,中信国安,综合类,主板
345,000848.SZ,承德露露,软饮料,主板
346,000850.SZ,华茂股份,纺织,主板
347,000851.SZ,高鸿股份,软件服务,主板
348,000852.SZ,石化机械,化工机械,主板
349,000856.SZ,冀东装备,机械基件,主板
350,000858.SZ,五粮液,白酒,主板
351,000859.SZ,国风塑业,塑料,主板
352,000860.SZ,顺鑫农业,白酒,主板
353,000861.SZ,海印股份,房产服务,主板
354,000862.SZ,银星能源,新型电力,主板
355,000863.SZ,三湘印象,区域地产,主板
356,000868.SZ,ST安凯,汽车整车,主板
357,000869.SZ,张裕A,红黄酒,主板
358,000875.SZ,吉电股份,火力发电,主板
359,000876.SZ,新希望,饲料,主板
360,000877.SZ,天山股份,水泥,主板
361,000878.SZ,云南铜业,铜,主板
362,000880.SZ,潍柴重机,机械基件,主板
363,000881.SZ,中广核技,综合类,主板
364,000882.SZ,华联股份,其他商业,主板
365,000883.SZ,湖北能源,火力发电,主板
366,000885.SZ,城发环境,公路,主板
367,000886.SZ,海南高速,路桥,主板
368,000887.SZ,中鼎股份,橡胶,主板
369,000888.SZ,峨眉山A,旅游景点,主板
